Seller SKU,Product Name,Unit Cost,Effective Start Date,Effective End Date,Notes
Chrona_BG,Chrona_BG,,2026-05-01,,Enter unit cost
Pocket_Pro,Pocket_Pro,,2026-05-01,,Enter unit cost
L10S_Pro_Ultra,L10S_Pro_Ultra,,2026-05-01,,Enter unit cost
Pocket_Pure,Pocket_Pure,,2026-05-01,,Enter unit cost
Glory_Combo,Glory_Combo,,2026-05-01,,Enter unit cost
Airstyle_Suite,Airstyle_Suite,,2026-05-01,,Enter unit cost
Airstyle_Era,Airstyle_Era,,2026-05-01,,Enter unit cost
Pocket_2026,Pocket_2026,,2026-05-01,,Enter unit cost
Airstyle_Pro,Airstyle_Pro,,2026-05-01,,Enter unit cost
L10SUltraGen2,L10SUltraGen2,,2026-05-01,,Enter unit cost
